Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,192200,200200,165400,245400,178600,163300
Feb 2005,101.3,101.3,101.6,100.9,104.8,100.9,194700,202800,168100,247600,187200,164800
Mar 2005,102.4,102.6,103.1,102,104.6,101.4,196800,205400,170600,250300,186800,165600
Apr 2005,103.2,103.4,104.1,102.5,105.7,102.1,198400,207000,172200,251500,188800,166800
May 2005,103.6,103.9,104.7,102.8,104.9,102.4,199100,208000,173200,252300,187400,167300
Jun 2005,103.9,104.2,105.3,102.7,107.1,102.7,199700,208600,174200,252000,191300,167700
Jul 2005,104.1,104.3,105.6,102.6,108.5,103.1,200100,208800,174700,251800,193800,168400
Aug 2005,104.6,104.8,106.1,103.2,110,103.4,201100,209800,175500,253200,196500,168900
Sep 2005,105.5,105.8,107.2,103.9,110.6,104,202800,211800,177300,255000,197600,169900
Oct 2005,106.1,106.4,108,104.3,108.7,104.9,203900,213000,178700,255900,194200,171300
Nov 2005,106.5,106.9,108.6,104.7,109.6,105,204700,214000,179700,256900,195800,171500
Dec 2005,106.6,107.1,109,104.8,108,104.4,204900,214400,180300,257200,192900,170500
Jan 2006,107.5,108.2,110.1,105.9,108.2,104.9,206600,216600,182100,259900,193300,171300
Feb 2006,108.4,109.2,111,106.9,110.6,105.7,208400,218600,183600,262300,197600,172600
Mar 2006,109.1,109.7,111.7,107.2,112.4,106.7,209700,219600,184800,263100,200800,174300
Apr 2006,109.6,110.2,112.2,107.7,113.2,107.4,210700,220600,185600,264300,202200,175400
May 2006,110.3,110.8,113,108.1,113.9,108.2,212000,221800,186900,265300,203500,176700
Jun 2006,111,111.7,113.7,109.3,114.9,108.5,213400,223600,188100,268200,205200,177200
Jul 2006,111.4,112.2,114.5,109.4,114.6,108.6,214100,224600,189400,268500,204700,177400
Aug 2006,111.8,112.6,114.9,109.8,114,109.3,214900,225400,190100,269400,203600,178500
Sep 2006,112.2,113,115.3,110,113.2,109.5,215700,226200,190700,269900,202200,178900
Oct 2006,113,113.9,115.9,111.4,115.7,109.8,217200,228000,191700,273400,206700,179300
Nov 2006,113.4,114.6,116.7,112,118.1,109.3,218000,229400,193100,274800,211000,178500
Dec 2006,113.6,115,117.7,111.6,118.2,108.6,218300,230200,194700,273800,211100,177400
Jan 2007,114.2,115.4,118.1,112.1,119.6,109.8,219500,231000,195400,275100,213600,179300
Feb 2007,114.9,116.1,118.7,112.8,117.3,111,220800,232400,196400,276800,209500,181300
Mar 2007,115.6,116.6,119.3,113.4,119.2,112.3,222200,233400,197400,278300,212900,183400
Apr 2007,116.3,117.2,120.1,113.7,121.4,113.1,223500,234600,198700,279000,216800,184700
May 2007,117,118,120.9,114.5,123.7,113.7,224900,236200,200000,281000,221000,185700
Jun 2007,117.9,119,122,115.5,124.3,113.9,226600,238200,201800,283400,222000,186000
Jul 2007,119.1,120.4,123.3,116.9,125.7,114.6,228900,241000,204000,286900,224500,187200
Aug 2007,119.5,120.9,124.4,116.8,123.2,115,229700,242000,205800,286600,220100,187800
Sep 2007,119.9,121,124.3,117.2,126.9,115.8,230500,242200,205600,287600,226700,189100
Oct 2007,120.3,121.5,124.6,117.9,126,116.3,231200,243200,206100,289300,225100,190000
Nov 2007,120.7,122,125,118.6,126.8,116.5,232000,244200,206800,291000,226500,190300
Dec 2007,121,122.4,125.2,119.1,130.7,116.2,232600,245000,207100,292300,233500,189800
Jan 2008,121.6,123.1,126,119.7,133.6,116.4,233700,246400,208400,293700,238600,190100
Feb 2008,123.1,124.7,127.6,121.3,134.7,117.7,236600,249600,211100,297700,240600,192200
Mar 2008,124,125.7,128.6,122.3,134.1,118.4,238300,251600,212700,300100,239500,193400
Apr 2008,124.7,126.4,129.1,123.2,134.9,119.3,239700,253000,213600,302300,241000,194900
May 2008,125.3,126.8,129.6,123.4,135.8,120.8,240800,253800,214400,302800,242600,197300
Jun 2008,126.2,127.5,130.3,124.2,136.6,122,242600,255200,215600,304800,244000,199300
Jul 2008,127.1,128.2,131,124.9,136.5,123.5,244300,256600,216700,306500,243800,201700
Aug 2008,128.1,129.4,132.2,126.2,138.4,123.7,246200,259000,218700,309700,247200,202000
Sep 2008,128.5,129.9,132.4,127,137.4,124.1,247000,260000,219000,311600,245400,202700
Oct 2008,128.7,130.3,133.2,126.9,140.9,123.6,247400,260800,220400,311400,251700,201900
Nov 2008,128.7,130.3,133.5,126.6,141.5,123.7,247400,260800,220800,310700,252800,202000
Dec 2008,128.5,129.8,133.3,125.8,146.4,124.2,247000,259800,220500,308700,261500,202900
Jan 2009,128.6,129.8,132.7,126.4,141.4,124.8,247200,259800,219500,310200,252600,203800
Feb 2009,128.6,129.7,132.8,126.2,138.3,124.9,247200,259600,219700,309700,247000,204000
Mar 2009,128.4,129.5,132.5,125.9,134.7,125.4,246800,259200,219200,308900,240600,204800
Apr 2009,128.7,129.7,132.8,126,137.9,125.6,247400,259600,219700,309200,246300,205200
May 2009,129,129.8,132.8,126.3,138,126.3,247900,259800,219700,309900,246500,206300
Jun 2009,129.4,130.2,132.8,127.2,141.1,126.8,248700,260600,219700,312100,252000,207100
Jul 2009,130.1,130.9,133.6,127.7,141.4,127.6,250100,262000,221000,313400,252600,208400
Aug 2009,130.8,131.7,134.4,128.6,142.4,128,251400,263600,222300,315600,254400,209100
Sep 2009,131.4,132.5,135.5,129.1,139.4,128.2,252600,265200,224200,316800,249000,209400
Oct 2009,132.2,133.4,136.6,129.6,140.2,129,254100,267000,226000,318000,250400,210700
Nov 2009,133,134.1,137,130.7,139.4,129.9,255600,268400,226600,320700,249000,212200
Dec 2009,133.5,134.5,137,131.6,143.4,130.5,256600,269200,226600,322900,256100,213200
Jan 2010,134.7,135.7,138.2,132.9,148,131.5,258900,271600,228600,326100,264400,214800
Feb 2010,136.8,137.7,140.3,134.6,151.4,134.1,262900,275600,232100,330300,270400,219000
Mar 2010,138.6,139.4,142.1,136.3,152.1,136,266400,279000,235100,334500,271700,222100
Apr 2010,139.7,140.4,143.1,137.3,156.4,137.1,268500,281000,236700,336900,279400,223900
May 2010,140.6,141.5,144.1,138.5,156.2,137.9,270200,283200,238400,339900,279000,225200
Jun 2010,141.2,142,144.6,138.9,157.4,138.7,271400,284200,239200,340800,281200,226500
Jul 2010,141.6,142.4,145.2,139.2,153.9,139.2,272200,285000,240200,341600,274900,227400
Aug 2010,141.8,142.6,145.1,139.6,153,139.5,272600,285400,240000,342600,273300,227900
Sep 2010,142.1,143.1,145.6,140.1,151.8,139.3,273100,286400,240900,343800,271100,227500
Oct 2010,142.4,143.4,146.1,140.2,151.5,139.8,273700,287000,241700,344000,270600,228300
Nov 2010,142.9,143.6,145.9,141,154.1,140.7,274700,287400,241400,346000,275300,229800
Dec 2010,143.2,143.8,145.8,141.4,158.9,141.3,275200,287800,241200,347000,283800,230800
Jan 2011,144.2,144.7,146,143.1,159.9,142.4,277200,289600,241500,351100,285600,232600
Feb 2011,145.8,146.3,147.8,144.5,158,144.4,280200,292900,244500,354600,282200,235900
Mar 2011,147.2,147.8,149,146.3,157.6,145.4,282900,295900,246500,359000,281500,237500
Apr 2011,147.8,148.4,149.8,146.8,156.1,146,284100,297100,247800,360200,278800,238500
May 2011,148,148.6,149.8,147.1,155.7,146.5,284500,297500,247800,361000,278100,239300
Jun 2011,147.8,148.2,149.8,146.3,150.9,146.7,284100,296700,247800,359000,269500,239600
Jul 2011,148,148.3,150.1,146.1,157.5,147.1,284500,296900,248300,358500,281300,240300
Aug 2011,148.1,148,149.2,146.6,159.9,148,284700,296300,246800,359700,285600,241700
Sep 2011,148.4,148,149.3,146.6,159.4,148.8,285200,296300,247000,359700,284700,243000
Oct 2011,148.8,148.5,149.7,147,161.1,149.1,286000,297300,247600,360700,287800,243500
Nov 2011,148.2,147.8,148.9,146.6,160.5,148.6,284900,295900,246300,359700,286700,242700
Dec 2011,146.2,145.8,146.9,144.4,159.4,146.8,281000,291900,243000,354300,284700,239800
Jan 2012,147.3,146.9,148.3,145.2,161.3,147.9,283100,294100,245300,356300,288100,241600
Feb 2012,148.1,147.8,148.7,146.7,162.8,148.2,284700,295900,246000,360000,290800,242100
Mar 2012,150.3,150.5,151.5,149.3,161.5,149.7,288900,301300,250600,366400,288500,244500
Apr 2012,151.2,151.4,152.6,150,163.6,150.4,290600,303100,252400,368100,292200,245700
May 2012,151.3,151.6,153,149.8,161.2,150.3,290800,303500,253100,367600,287900,245500
Jun 2012,151.8,151.5,152.7,150.2,161.4,151.9,291800,303300,252600,368600,288300,248100
Jul 2012,151.1,150.8,151.8,149.7,161.5,151.5,290400,301900,251100,367300,288500,247500
Aug 2012,151.4,151,152.3,149.5,162.5,151.7,291000,302300,251900,366800,290300,247800
Sep 2012,151.6,151.1,152.3,149.7,165.8,152.1,291400,302500,251900,367300,296200,248400
Oct 2012,151.5,150.8,151.9,149.4,169.3,152.4,291200,301900,251300,366600,302400,248900
Nov 2012,151,150.5,151.7,149,167.1,151.5,290200,301300,251000,365600,298500,247500
Dec 2012,151,150.7,151.2,150,170.5,151.2,290200,301700,250100,368100,304600,247000
Jan 2013,151.1,150.8,151.1,150.5,172.7,151,290400,301900,250000,369300,308500,246600
Feb 2013,152.1,152.2,152.1,152.3,171.2,151.3,292300,304700,251600,373700,305800,247100
Mar 2013,153.3,153.8,154.7,152.8,171.8,151.8,294700,307900,255900,374900,306900,247900
Apr 2013,154.1,154.4,155.8,152.9,171.4,152.8,296200,309100,257700,375200,306200,249600
May 2013,156.7,157.6,159.3,155.5,170.8,154.6,301200,315500,263500,381600,305100,252500
Jun 2013,155.6,156.8,158.1,155.2,170.2,152.9,299100,313900,261500,380800,304000,249700
Jul 2013,155.2,155.8,156.4,155.2,173.1,153.4,298300,311900,258700,380800,309200,250600
Aug 2013,155.1,155.7,156.2,155.1,170.6,153.4,298100,311700,258400,380600,304700,250600
Sep 2013,155.2,156,156.4,155.4,173.2,153,298300,312300,258700,381300,309400,249900
Oct 2013,155.2,156.2,156.6,155.6,173.3,152.8,298300,312700,259100,381800,309600,249600
Nov 2013,155.1,156.1,156.8,155.2,175.7,152.4,298100,312500,259400,380800,313800,248900
Dec 2013,154.4,155.2,155.7,154.7,170.9,152.2,296800,310700,257600,379600,305300,248600
Jan 2014,154,155.1,155.4,154.7,171,151.2,296000,310500,257100,379600,305400,247000
Feb 2014,156.1,156.8,157.2,156.4,174.4,154.1,300000,313900,260100,383800,311500,251700
Mar 2014,156.7,157.4,158.2,156.5,180.1,154.6,301200,315100,261700,384000,321700,252500
Apr 2014,156.7,157.6,159,155.9,177.8,154.3,301200,315500,263000,382600,317600,252000
May 2014,156.9,158.3,159.7,156.6,175.2,153.4,301600,316900,264200,384300,312900,250600
Jun 2014,156.6,157.6,159.2,155.8,172.1,154,301000,315500,263400,382300,307400,251500
Jul 2014,156,156.6,157.5,155.6,173.3,154,299800,313500,260600,381800,309600,251500
Aug 2014,155.5,156.2,156.7,155.5,174,153.6,298900,312700,259200,381600,310800,250900
Sep 2014,155.2,156,156.8,155,174.4,152.9,298300,312300,259400,380300,311500,249700
Oct 2014,155.4,155.5,155.6,155.5,172.1,154.4,298700,311300,257400,381600,307400,252200
