"MlsNumber","LivingArea","YearBuilt","MunicipalTax","SchoolTax","CondoFees","HeatingEnergy","HeatingSystem","Proximity","SewageSystem","LotAssessment","BuildingAssessment","Pool","View","Garage","Parking","Zoning","WaterSupply","LotDepth","LotFrontage","Area","MunicipalAssessment","FloorCovering","Topography","Insurance"
"10015701","750 Square Feet","2011","$1,449, (2013)","$305, (2013)","$1,536","Electricity","Electric baseboard units","Public transport, Hospital","Municipal sewer",,,,,,,,,,,,,,,
"10032054","49 Square metres","2005","$2,196, (2012)","$501, (2012)","$3,084",,"Electric baseboard units",,"Municipal sewer","$16,900","$223,900","Indoor","Water, Panoramic",,,,,,,,,,,
"10053290","950 Square Feet","1981","$2,000, (2013)","$359, (2013)","$1,788","Electricity",,"Public transport","Municipal sewer","$86,400","$111,500",,,"6 feet and over, Proximity","6 feet and over, Garage",,,,,,,,,
"10077577","1,405 Square Feet",,,,"$6,852","Electricity","Electric baseboard units",,"Municipal sewer",,,"Indoor","Water","Pool","Garage",,,,,,,,,
"10077804","674 Square Feet","2011","$1,998, (2014)","$412, (2014)","$2,160","Electricity","Electric baseboard units","Public transport, Park - green area","Municipal sewer","$36,900","$208,200",,,,,"Residential",,,,,,,,
"10121613",,"1958","$4,866, (2014)","$948, (2013)",,"Electricity","Electric baseboard units","Public transport, Hospital","Municipal sewer","$152,500","$422,000",,,,,"Residential",,,,,,,,
"10130449",,"1975","$4,638, (2014)","$425, (2013)",,"Electricity","Air circulation","Park - green area, Highway","Municipal sewer",,,"Other - Hot Tub",,"Heated, Fitted, Pool","Outdoor","Residential",,,,,,,,
"10141043","714 Square Feet",,,,"$1,848","Electricity","Electric baseboard units","University","Municipal sewer",,,,,,,,,,,,,,,
"10143682","912 Square Feet",,,,"$3,408","Electricity","Space heating baseboards","University, Public transport","Municipal sewer",,,"Other - Sauna and Gym, Inground",,,,"Residential",,,,,,,,
"10174422","1,350 Square Feet","1885","$3,444, (2014)","$740, (2014)","$1","Electricity","Electric baseboard units","University","Municipal sewer","$237,400","$259,400",,"Panoramic",,,"Residential",,,,,,,,
"10177529","928 Square Feet","1982","$1,982, (2014)","$429, (2014)","$1,656","Electricity",,"Public transport","Municipal sewer","$32,700","$212,600",,"Panoramic, Other - View of Parc Angrignon, Water Supply, Walkin, 4th Floor, Floating Floor, 5.0x6.0 P","Heated, Proximity","Garage","Residential",,,,,,,,
"10183269","882","1912","$3,322, (2013)","$706, (2013)","$2,664","Electricity","Electric baseboard units","University, Public transport","Municipal sewer","$32,200","$375,500",,,,,"Residential",,,,,,,,
"10199494",,"2000","$1,700, (2014)","$321, (2014)","$1,860","Electricity","Electric baseboard units","University, Public transport","Municipal sewer","$27,000","$152,400",,,"Single width, Proximity","Garage","Residential",,,,,,,,
"10227699",,,"$30,982, (2014)","$1,717, (2013)",,"Natural gas, Electricity","Electric baseboard units","Public transport, Highway","Municipal sewer","$350,500","$637,600",,,,,"Commercial",,,,,,,,
"10229387",,"1949","$2,609, (2014)","$549, (2014)",,"Electricity",,,"Municipal sewer","$153,600","$171,900",,,,,"Residential",,,,,,,,
"10231740","605 Square Feet",,,,"$3,360",,,"University, Public transport","Municipal sewer",,,"Inground, Indoor",,"Pool","Garage",,,,,,,,,
"10251171","60 Square metres","2009","$2,276, (2013)","$370, (2013)","$2,316","Electricity","Electric baseboard units",,"Municipal sewer","$20,800","$187,400",,,"Heated, Sewage System","Garage","Residential",,,,,,,,
"10269505","57 Square metres","1997","$1,473, (2014)","$309, (2013)","$1,188","Electricity","Electric baseboard units",,"Municipal sewer","$28,600","$156,100",,,,,"Residential",,,,,,,,
"10349558","2,218 Square Feet",,,,"$12,180","Bi-energy","Air circulation","University","Municipal sewer",,,"Other - Indoor Uv Flitered",,"Pool","Garage","Residential",,,,,,,,
"10370344","892 Square Feet",,,,"$3,324","Electricity","Space heating baseboards","University, Public transport","Municipal sewer",,,"Other - Sauna and Gym, Inground",,,,"Residential",,,,,,,,
"10373466","3,100 Square Feet","1924","$7,500, (2012)","$500, (2012)",,"Electricity","Electric baseboard units",,"Municipal sewer","$128,600","$312,200",,,,,"Residential",,,,,,,,
"10374685","1,280 Square Feet","1975","$2,729, (2013)","$582, (2013)",,"Electricity","Electric baseboard units",,"Municipal sewer","$97,100","$233,400",,,"Single width, Sewage System","Garage","Residential",,,,,,,,
"10383470","71 Square metres","1989","$2,131, (2013)","$441, (2013)","$3,000","Electricity","Electric baseboard units, Air circulation","University","Municipal sewer","$17,300","$198,000",,,"Heated, Proximity","Garage","Residential",,,,,,,,
"10384762",,"1966",,,,"Natural gas",,,"Municipal sewer",,,,,,,"Commercial",,,,,,,,
"10476646","1,416 Square Feet","1985","$3,148, (2014)","$691, (2014)","$3,324","Electricity","Electric baseboard units","University","Municipal sewer",,,,"Panoramic","Single width, Proximity","Garage","Residential",,,,,,,,
"10529433","957 Square Feet",,,,"$3,456","Electricity","Space heating baseboards","University, Public transport","Municipal sewer",,,"Other - Sauna and Gym, Inground",,,,"Residential",,,,,,,,
"10568084","135 Square metres","1953",,,,"Bi-energy",,,"Municipal sewer",,,,,"Single width, Attached, Roofing","Garage","Residential",,,,,,,,
"10569084",,,"$2,103, (2014)","$411, (2013)",,"Natural gas",,,"Municipal sewer","$82,900","$182,200",,,,,"Residential",,,,,,,,
"10589723",,"1978",,,,"Electricity","Air circulation","Public transport, Park - green area","Municipal sewer",,,,,,"Outdoor","Residential",,,,,,,,
"10606409","1,315 Square Feet","1926","$3,069, (2013)","$673, (2012)","$4,116",,"Electric baseboard units","University, Public transport","Municipal sewer",,,,,,,,,,,,,,,
"10644299",,"1910","$3,041, (2014)","$653, (2014)",,"Natural gas","Hot water","University, Public transport","Municipal sewer","$377,200","$853,600",,,,,"Residential",,,,,,,,
"10646569",,"1920",,,,"Electricity","Electric baseboard units","Public transport","Municipal sewer",,,"Inground, Indoor",,"Heated, Pool","Garage","Residential",,,,,,,,
"10648165","1,242 Square Feet",,,,"$1","Electricity","Electric baseboard units","University, Public transport","Municipal sewer",,,"Indoor, Heated","Panoramic, City",,,"Residential",,,,,,,,
"10742781",,"1933","$3,949, (2013)","$852, (2013)",,,,"University, Public transport","Municipal sewer","$133,800","$382,500",,,,,"Residential",,,,,,,,
"10764916","96 Square metres","2011","$1,906, (2014)","$52, (2014)","$1,008",,"Electric baseboard units",,"Municipal sewer",,"$192,600",,,,,"Residential",,,,,,,,
"10779505","750 Square Feet","2009","$1, (2013)","$485, (2013)","$2,652","Electricity","Electric baseboard units","University, Public transport","Municipal sewer","$44,300","$198,000","Inground, Heated",,"Heated, Pool","Garage","Residential",,,,,,,,
"10788563","1,040 Square Feet",,,,"$1","Electricity","Electric baseboard units","University","Municipal sewer",,,"Indoor","City",,,"Residential",,,,,,,,
"10793743","550 Square Feet",,,,,"Electricity",,"Public transport, Highway","Municipal sewer",,,,,,,"Commercial",,,,,,,,
"10847106","60 Square metres","2005","$1, (2014)","$684, (2014)","$3,960","Electricity",,"University","Municipal sewer","$23,500","$294,800",,,,,"Residential",,,,,,,,
"10871773","1,155 Square Feet","1998","$3,754, (2014)","$817, (2014)","$3,960","Electricity","Electric baseboard units",,"Municipal sewer","$84,000","$395,200","Inground, Heated",,"Other - 1, Pool","Garage","Residential",,,,,,,,
"10913469",,,,,,"Natural gas",,,"Municipal sewer",,,,,,,"Residential, Commercial",,,,,,,,
"10924057",,"1977","$2,607, (2014)","$463, (2014)",,"Electricity","Electric baseboard units","Public transport","Municipal sewer","$49,100","$212,800",,"City","Single width, Heated, Proximity","Garage","Residential",,,,,,,,
"10934591","519 Square Feet",,,,"$1","Electricity","Electric baseboard units","Public transport","Municipal sewer",,,,,,,"Residential",,,,,,,,
"10939814",,,,,,,,,"Municipal sewer",,,,,,,"Commercial",,,,,,,,
"10957411",,,,,,,,,"Municipal sewer",,,,,"Sewage System",,,,,,,,,,
"11011359","1,753 Square Feet","1966","$1, (2014)","$1, (2014)","$1","Natural gas","Hot water","University, Public transport","Municipal sewer","$1","$1",,"Panoramic, City","Heated, Proximity","Garage",,,,,,,,,
