MlsNumber,LivingArea,MunicipalTax,SchoolTax,LotAssessment,BuildingAssessment,Area
28505751,92.8 SF,1.00,1.00,,,1 SF
28998793,"1,036 SF",1850.00,385.00,,,1 SF
17152594,939 Square Feet,2352.00,499.00,25500.00,254100.00,"1,000.00 Square Feet"
17428838,594 Square Feet,1667.00,339.00,17600.00,172800.00,"1,000.00 Square Feet"
18426422,935 Square Feet,1910.00,405.00,,,"1,000.00 Square Feet"
10939814,,,,,,"1,000.00 Square Feet"
20508845,"1,299.7 SF",2793.00,587.00,,,"1,020 SF"
21957983,"1,125 SF",1817.00,399.00,,,"1,036.15 SF"
28759685,,15048.00,2458.00,468100.00,844500.00,"1,059.00 Square metres"
20667631,,10092.00,2484.00,641600.00,830900.00,"1,069.30 Square metres"
14680631,"1,200 SF",2626.00,576.00,,,"1,092 SF"
11193259,,4684.00,1047.00,,,"1,100.00 Square Feet"
18488403,,3114.00,660.00,,,"1,125 SF"
9685913,"1,044 Square Feet",2966.00,624.00,40700.00,290600.00,"1,125.00 Square Feet"
13874356,,2716.00,477.00,,,"1,136.3 SF"
21100417,,,,,,"1,136.9 SM"
18687560,,24650.00,1261.00,154500.00,533800.00,"1,144.00 Square metres"
17162514,,1580.00,330.00,,,"1,153.89 SF"
19585889,,7800.00,1613.00,,,"1,160 SF irr."
28896218,,3392.00,745.00,,,"1,182 SF"
22187045,"1,818 SF",3878.00,755.00,,,"1,185 SF"
22233370,"1,760 SF",5054.00,1088.00,,,"1,187.26 SF"
15290200,,3078.00,627.00,232272.00,97100.00,"1,191.30 Square metres"
11690778,,2312.00,491.00,,,"1,200 SF"
22428141,,3666.00,787.00,,,"1,200 SF"
19219094,,3549.00,719.00,,,"1,216 SF"
21958377,,3832.00,774.00,,,"1,224.93 SF irr."
14268353,"1,138 Square Feet",2698.00,567.00,33300.00,298300.00,"1,225.00 Square Feet"
15754939,,2017.00,419.00,,,"1,232.47 SF irr."
22107771,"1,190 SF",1959.00,457.00,,,"1,236 SF irr."
22849348,"1,357 SF",2946.00,606.00,,,"1,250 SF irr."
11275564,720 SF,2607.00,559.00,,,"1,259 SF irr."
18656632,700 SF,1481.00,332.00,,,"1,264,544.2 SF"
17050228,971.9 SF,1873.00,384.00,,,"1,269.06 SF"
14944814,"1,242 SF",2341.00,493.00,,,"1,289 SF"
20654347,"3,100 SF",9554.00,710.00,,,"1,290 SF irr."
19075820,,2918.00,579.00,,,"1,300 SF"
20345306,,2564.00,544.00,,,"1,311 SF irr."
26318013,,4152.00,879.00,,,"1,313 SF"
14998265,,4152.00,879.00,,,"1,314 SF"
14111141,740 SF,3487.00,739.00,,,"1,322.7 SF"
28947375,,4517.00,944.00,,,"1,329.34 SF"
12367542,,13728.00,690.00,,,"1,333 SF irr."
10857433,,2274.00,483.00,,,"1,340 SF"
14730090,,3906.00,788.00,,,"1,345.49 SF irr."
24434363,,1416.00,315.00,,,"1,350.87 SF"
28065604,,3185.00,655.00,,,"1,354.1 SF irr."
13840268,,2020.00,428.00,,,"1,356 SF"
17741839,"1,300 SF",2638.00,489.00,,,"1,356.25 SF"
14226384,,3412.00,722.00,,,"1,369.17 SF"
28905445,"1,312 SF",2325.00,489.00,,,"1,386 SF"
23922826,995 SF,2467.00,530.00,,,"1,400 SF"
16241548,"1,400 SF",3293.00,686.00,,,"1,400 SF"
14739934,"1,896 SF",3668.00,787.00,,,"1,400 SF"
23618806,,4083.00,876.00,,,"1,400 SF"
16867172,,6430.00,989.00,,,"1,400 SF"
11405158,"2,006 Square Feet",3728.00,790.00,109300.00,381500.00,"1,400.00 Square Feet"
26885277,"1,350 Square Feet",2500.00,500.00,39200.00,189300.00,"1,400.00 Square Feet"
18299362,"1,292 Square Feet",2785.00,586.00,37800.00,304500.00,"1,400.00 Square Feet"
12011216,"2,055.91 SF",2679.00,551.00,,,"1,407.92 SF"
14326315,"1,682 SF",4658.00,1022.00,,,"1,409.1 SF"
11394072,,3231.00,599.00,,,"1,413 SF"
27551534,,4800.00,1050.00,,,"1,440 SF"
23545711,748 SF,1087.00,239.00,,,"1,440 SF irr."
21204423,,2758.00,570.00,,,"1,442.8 SF"
17157061,,,,,,"1,445 SF"
25575881,"1,700 SF",1800.00,337.00,,,"1,453 SF irr."
12221503,,4588.00,985.00,,,"1,462 SF"
26284451,"1,546 SF",2640.00,566.00,,,"1,467 SF"
26221208,,2761.00,571.00,,,"1,469 SF"
10264634,,,,,,"1,474.76 SF"
18583643,,,,,,"1,474.76 SF"
24277485,,,,,,"1,474.76 SF"
28326035,"1,415 SF",,,,,"1,474.76 SF"
28077099,,3052.00,670.00,,,"1,483.27 SF"
22617187,"1,640 Square Feet",3680.00,710.00,77400.00,394900.00,"1,488.00 Square Feet"
13327822,"1,380 SF",4873.00,1046.00,,,"1,493.5 SF irr."
10465942,,2754.00,604.00,,,"1,495 SF"
27253640,,,,,,"1,495.00 Square Feet"
26309264,,2252.00,464.00,,,"1,495.11 SF"
12265962,"1,390 Square Feet",2953.00,703.00,,,"1,500.00 Square Feet"
17853414,,1584.00,327.00,,,"1,503 SF"
24944503,"2,210 SF",4658.00,1004.00,,,"1,512.11 SF"
19851934,,3418.00,724.00,,,"1,518 SF irr."
12556156,"2,400 SF",4148.00,911.00,,,"1,518.03 SF"
18090722,,2507.00,519.00,,,"1,520 SF"
11882105,,2478.00,512.00,,,"1,528 SF"
24850304,,5348.00,1037.00,,,"1,534 SF"
28247463,,3057.00,605.00,57200.00,285100.00,"1,539.00 Square Feet"
9663893,,2268.00,469.00,,,"1,541 SF"
27261135,"1,317 SF",2568.00,523.00,,,"1,545 SF"
14236501,,4506.00,410.00,,,"1,550 SF"
26535175,,2979.00,631.00,,,"1,553.23 SF"
19362051,,2997.00,571.00,,,"1,567.23 SF"
12916109,,2718.00,504.00,,,"1,572.6 SF"
27904522,,5349.00,1407.00,,,"1,580 SF"
10569084,,2103.00,411.00,82900.00,182200.00,"1,593.00 Square Feet"
13101951,"1,542 SF",3941.00,497.00,,,"1,593.06 SF"
27562277,214 Square metres,4933.00,1038.00,140700.00,468600.00,"1,600.00 Square Feet"
25011778,"2,880 SF",3100.00,621.00,,,"1,606.4 SF"
11691963,,3053.00,670.00,,,"1,609.2 SF"
14960336,,3716.00,816.00,,,"1,610.28 SF"
15757828,,2816.00,581.00,,,"1,614 SF"
25940319,,1685.00,319.00,,,"1,614.59 SF"
16294224,,3481.00,748.00,,,"1,621 SF"
16107704,,19000.00,2512.00,243000.00,427300.00,"1,621.00 Square metres"
16986752,,4589.00,843.00,,,"1,621.04 SF"
19785802,,1319.00,262.00,,,"1,624.27 SF irr."
19767641,"2,751 SF",4229.00,929.00,,,"1,627 SF"
26437670,"1,390 SF",4058.00,887.00,,,"1,631.76 SF"
20053811,,3750.00,797.00,,,"1,632.89 SF irr."
19284328,682 SF,1728.00,352.00,,,"1,634 SF irr."
23600526,"1,600 SF",4018.00,750.00,,,"1,637.62 SF"
24038466,,2858.00,615.00,,,"1,639.34 SF"
20428012,,5344.00,1095.00,,,"1,639.8 SF"
15821242,"1,728 SF",3504.00,752.00,,,"1,642 SF"
16704351,,4742.00,959.00,,,"1,649 SF"
21863461,,2461.00,465.00,,,"1,650 SF"
20157985,,4775.00,1025.00,,,"1,650 SF"
12375456,"1,060 SF",,,,,"1,650.11 SF irr."
13239831,"1,332 SF",2299.00,481.00,,,"1,653 SF"
26058732,,2635.00,552.00,,,"1,657.64 SF"
10262127,,5834.00,1268.00,,,"1,660 SF"
24994505,"1,800 Square Feet",2702.00,660.00,44300.00,224200.00,"1,667.00 Square Feet"
23376561,,2515.00,517.00,,,"1,667.33 SF"
22951883,,1121.00,132.00,,,"1,668 SF irr."
17174448,"3,000 SF",5227.00,1444.00,,,"1,672 SF"
13106809,"1,894.45 SF",2736.00,284.00,,,"1,674.86 SF"
9987828,,2725.00,570.00,,,"1,674.86 SF irr."
21350091,,2547.00,533.00,,,"1,675.00 Square Feet"
22573739,"1,740 SF",5237.00,1075.00,,,"1,680 SF"
9579902,,1900.00,403.00,,,"1,680.25 SF"
11759819,,2626.00,550.00,,,"1,680.25 SF"
13525435,,2571.00,543.00,,,"1,685 SF irr."
22021820,,2593.00,551.00,,,"1,699.62 SF"
27294208,,2502.00,523.00,,,"1,700 SF"
15539098,,2672.00,560.00,,,"1,700 SF"
12325403,"1,000 SF",2814.00,531.00,,,"1,700 SF"
19576015,"5,764 SF",7329.00,1435.00,,,"1,700 SF"
21529014,,3278.00,528.00,89100.00,259600.00,"1,712.00 Square Feet"
11022723,,4461.00,928.00,,,"1,712.54 SF"
9341026,,5047.00,1083.00,,,"1,717.92 SF"
21894734,,3885.00,780.00,,,"1,722.23 SF"
19706510,,4556.00,1001.00,,,"1,723.3 SF"
23440892,968 SF,2082.00,447.00,,,"1,727 SF"
28698717,979.52 SF,1813.00,356.00,,,"1,730.73 SF"
21802796,"1,086 SF",1739.00,341.00,,,"1,733 SF"
11546939,,1668.00,328.00,,,"1,738.37 SF"
22923673,,3574.00,748.00,,,"1,739.45 SF irr."
17250150,,3179.00,666.00,,,"1,741.6 SF"
20557210,550 SF,608.00,113.00,,,"1,750 SF"
19798787,,2490.00,521.00,,,"1,750 SF"
18906044,850 SF,3959.00,415.00,,,"1,750 SF"
10181339,"3,150 SF",4012.00,861.00,,,"1,750 SF"
19920233,,4044.00,847.00,,,"1,750 SF"
15754721,"1,615 Square Feet",3390.00,703.00,82300.00,306400.00,"1,750.00 Square Feet"
10759201,500 SF,701.00,147.00,,,"1,750.21 SF"
24481097,500 SF,747.00,157.00,,,"1,750.21 SF"
9631977,500 SF,747.00,157.00,,,"1,750.21 SF"
22681899,"1,656 SF",,,,,"1,751 SF"
15128760,,2820.00,583.00,,,"1,753 SF"
14322233,,5109.00,1025.00,,,"1,753.12 SF"
25615233,,4791.00,725.00,,,"1,755 SF"
16664208,,3406.00,325.00,,,"1,759 SF"
15751524,,2159.00,426.00,,,"1,760 SF"
10924057,,2607.00,463.00,49100.00,212800.00,"1,760.00 Square Feet"
21892490,"1,280 SF",2256.00,443.00,,,"1,765 SF"
14841918,"1,223.19 SF",5931.00,1105.00,,,"1,767 SF"
18041967,,5556.00,1105.00,,,"1,767 SF irr."
17830301,,4208.00,1.00,,,"1,768.6 SM"
13063897,,2077.00,408.00,,,"1,770 SF"
25752485,,4035.00,845.00,,,"1,772.82 SF"
25718152,,4004.00,860.00,,,"1,775 SF"
22483836,,15953.00,2859.00,470000.00,1117000.00,"1,781.30 Square metres"
17531570,,4680.00,416.00,,,"1,782 SF"
13327513,"1,925 SF",3791.00,861.00,,,"1,784 SF"
15930186,,1206.00,142.00,,,"1,792 SF irr."
27099103,,2870.00,663.00,,,"1,793.27 SF"
15195304,977.36 SF,2865.00,622.00,,,"1,797.57 SF irr."
15506920,,2844.00,507.00,,,"1,799 SF"
14809154,"1,344 SF",1850.00,191.00,,,"1,800 SF"
21674131,,3337.00,729.00,,,"1,800 SF"
11516497,,3600.00,693.00,,,"1,800 SF"
24423545,,4180.00,879.00,,,"1,801.88 SF"
18268017,,1476.00,291.00,,,"1,805 SF"
12939953,,1615.00,317.00,,,"1,805 SF"
22025263,,2930.00,621.00,,,"1,823.41 SF"
13612606,,3673.00,778.00,,,"1,824 SF"
20106648,,1856.00,1.00,,,"1,826 SF irr."
14183764,"1,068 SF",1259.00,275.00,,,"1,833 SF"
23964066,,2474.00,525.00,,,"1,834 SF irr."
22124321,,3265.00,617.00,,,"1,836.6 SF"
20112530,,3369.00,700.00,,,"1,838.48 SF"
27052974,,2710.00,465.00,,,"1,840 SF"
15036215,174 Square metres,2089.00,389.00,51400.00,164900.00,"1,844.00 Square Feet"
15995077,,2938.00,800.00,,,"1,850 SF"
18743248,,2875.00,609.00,122900.00,238200.00,"1,850.00 Square Feet"
17666932,"1,200 SF",6096.00,1317.00,,,"1,851 SF irr."
26087261,,2398.00,493.00,,,"1,855 SF"
25441930,,3267.00,682.00,,,"1,857 SF irr."
19570793,,3280.00,686.00,,,"1,857.85 SF"
11164922,"1,500 SF",2089.00,600.00,,,"1,859 SF"
21034929,,2537.00,525.00,,,"1,861.5 SF"
11954539,,3993.00,765.00,,,"1,861.83 SF irr."
12768412,,2315.00,242.00,,,"1,869 SF"
27587748,741 SF,1629.00,331.00,,,"1,870 SF irr."
18531016,,1550.00,319.00,,,"1,871.84 SF"
20015368,,3105.00,650.00,,,"1,874 SF irr."
26281857,912.78 SF,2044.00,420.00,,,"1,874.97 SF"
21345766,997 SF,1585.00,163.00,,,"1,875 SF"
12348373,875 SF,2281.00,448.00,,,"1,875 SF"
26811115,,3114.00,628.00,,,"1,875 SF"
28756745,,3171.00,673.00,,,"1,875 SF"
18608811,,3288.00,689.00,,,"1,875 SF"
10048448,,3478.00,737.00,,,"1,875 SF"
13388285,,3552.00,707.00,,,"1,875 SF"
24536602,,5088.00,991.00,,,"1,875 SF"
23084332,,2484.00,552.00,,,"1,875.07 SF"
25644780,,2870.00,608.00,,,"1,875.07 SF"
14645314,,3803.00,792.00,,,"1,875.07 SF"
21420496,,2164.00,445.00,,,"1,879.38 SF"
28852086,,3028.00,314.00,,,"1,882.61 SF"
11647495,,3323.00,840.00,,,"1,885 SF"
11091521,,2471.00,511.00,,,"1,886 SF"
24426889,,3656.00,779.00,,,"1,898 SF"
16507039,,2339.00,483.00,,,"1,899 SF"
12736931,,2284.00,432.00,,,"1,899.83 SF"
