address,lat,lng
550 Blvd. St. Pierre,45.502644,-73.559248
230 Blvd.Chèvremont,45.493473,-73.876561
13795 Blvd. Pierrefonds,45.493300,-73.849787
13 rue Centre Commercial,45.509543,-73.806234
10 Sunnydale,45.493874,-73.806822
3048 Blvd. Saint Charles,45.513063,-73.725610
300 Surrey Drive,45.420775,-73.909979
310 Beaurepaire Drive,45.428763,-73.868406
401 Blvd. St-Jean,45.502372,-73.556953
155 Avro,45.466420,-73.789794
530 Blvd. Bouchard,45.447490,-73.735621
5500 Bois Franc,45.493961,-73.744660
2727 Poirier,45.508849,-73.709012
820 Saint Germain,45.512828,-73.677819
3175 Remembrance,45.437524,-73.691247
114 Westminster North,45.453896,-73.648063
6815 Cote St Luc Rd.,45.467901,-73.652072
5520 MacDonald,45.483461,-73.639249
1300 Dollard Ave.,45.426091,-73.626472
4398 LaSalle Blvd.,45.459919,-73.562947
nan,45.493583,-73.560128
256 Young,45.491422,-73.572507
1255 Richmond,45.477785,-73.585654
523 Place St. Henri,45.456940,-73.595438
6040 Monk,45.490019,-73.641667
5260 Van Horne,45.497353,-73.622005
5353 Gatineau,45.475588,-73.614142
5369 Cote St Antoine,45.467317,-73.638627
4760 Cumberland,45.486143,-73.598376
19 Stanton,45.501689,-73.567256
Ile Ste- Helene (Seasonal),45.512114,-73.566749
75 Ontario East,45.494375,-73.580206
1445 Saint Mathieu,45.528125,-73.557985
2000 de Lormier,45.506054,-73.559280
920 Saint Urbain,45.497930,-73.573047
1212 Drummond,45.525675,-73.574348
1041 Rachel,45.510025,-73.611714
2151 Mont-Royal,45.523017,-73.592900
5 Laurier West,45.517792,-73.607804
40 Avenue Saint-Just,45.515189,-73.640895
10 Roosevelt,45.563815,-73.610048
8100 Blvd. Saint Michel,45.546340,-73.626616
795 Jarry East,45.527366,-73.626316
7405 Champagneur,45.556084,-73.670401
10827 Lajeunesse,45.534563,-73.703952
4180 de Salaberry,45.569452,-73.652883
1945 Fleury East,45.544266,-73.650842
10 Chabanel West,45.545305,-73.576555
5375 1st Ave.,45.534619,-73.616198
7041 St. Dominique,45.547163,-73.597980
2111 Saint Zotique,45.567125,-73.575525
6490 30th Avenue,45.539191,-73.541129
3250 Sainte Catherine St. East,45.572476,-73.543639
2915 Monsabre,45.601356,-73.522721
8639 Pierre-de-Coubertin,45.562999,-73.541191
5100 Hochelaga,45.547275,-73.550890
3616 Hochelaga,45.597081,-73.600105
6025 Lavoisier,45.501689,-73.567256
5455 Antoine Dagenais,45.594244,-73.636059
4340 Charleroi,45.617071,-73.621298
12012 Rolland,45.603015,-73.558874
7650 Blvd. Chateauneuf,45.448281,-73.635724
11371 Notre Dame,13.738757,-89.184672
11575 26th Ave.,45.671462,-73.504329
14201 Sherbrooke East,45.652516,-73.563308
