Category,Composite_Benchmark,LivingArea,Townhouse_Benchmark,Apartment_Benchmark,One_Storey_HPI,Single_Family_HPI,SaleDD,Address,SaleYYYY,AskingPrice,PriceSold,SaleYYYYMMDD,NumberBedrooms,NumberBathrooms,SaleMM,Two_Storey_HPI,One_Storey_Benchmark,LotSize,Apartment_HPI,DaysOnMarket,Single_Family_Benchmark,Two_Storey_Benchmark,Composite_HPI,Townhouse_HPI,Borough,Lat,Lng
1 1/2 Storey,268500,1700,279400,223900,143.1,140.4,17,"8845, avenue Henri-Julien Montreal",2010,398000,380000,20100417,4,1,4,137.3,236700,3330,137.1,29,281000,336900,139.7,156.4,Ahuntsic / Cartierville,45.5451,-73.642169
1 1/2 Storey,292300,1093,305800,247100,152.1,152.2,16,"12225, rue Desenclaves Montreal",2013,374000,365000,20130216,3,1,2,152.3,251600,4311,151.3,22,304700,373700,152.1,171.2,Ahuntsic / Cartierville,45.543891,-73.699858
1 1/2 Storey,292300,924,305800,247100,152.1,152.2,3,"5125, avenue Beaconsfield Montreal",2013,509000,509000,20130203,2,2,2,152.3,251600,3813,151.3,15,304700,373700,152.1,171.2,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.474656,-73.63891
1 1/2 Storey,283100,1100,288100,241600,148.3,146.9,2,2466 Viau Montreal Montreal,2012,,,20120102,2,1,1,145.2,245300,3900,147.9,240,294100,356300,147.3,161.3,Mercier / Hochelaga / Maisonneuve,45.561104,-73.541795
1 1/2 Storey,300000,1125,311500,251700,157.2,156.8,16,"2465, rue Sicard Montreal",2014,375000,375000,20140216,2,1,2,156.4,260100,4213,154.1,6,313900,383800,156.1,174.4,Mercier / Hochelaga / Maisonneuve,45.558573,-73.544012
1 1/2 Storey,268500,1098,279400,223900,143.1,140.4,8,"5096, rue Hertel Montreal",2010,249900,246000,20100408,3,1,4,137.3,236700,5580,137.1,31,281000,336900,139.7,156.4,Pierrefonds / Roxboro,45.505973,-73.846902
1 1/2 Storey,291400,1400,296200,248400,152.3,151.1,30,"5928, rue Andr•À_ Montreal",2012,,,20120930,2,2,9,149.7,251900,7126,152.1,120,302500,367300,151.6,165.8,Pierrefonds / Roxboro,45.501689,-73.567256
1 1/2 Storey,275200,1050,283800,230800,145.8,143.8,12,5564 Waverly Montreal,2010,479000,465000,20101212,3,1,12,141.4,241200,2067,141.3,63,287800,347000,143.2,158.9,Le Plateau-Mont-Royal,45.524187,-73.600907
1 1/2 Storey,268500,1367,279400,223900,143.1,140.4,29,"182, avenue Champetre Montreal",2010,219000,211000,20100429,3,2,4,137.3,236700,3676,137.1,43,281000,336900,139.7,156.4,Pointe-Aux-Trembles / East Montreal,45.629838,-73.505507
1 1/2 Storey,296800,921,305300,248600,155.7,155.2,10,"12237, rue Victoria Montreal",2013,239000,227000,20131210,2,1,12,154.7,257600,5289,152.2,15,310700,379600,154.4,170.9,Pointe-Aux-Trembles / East Montreal,45.642889,-73.492295
1 1/2 Storey,300000,2289,311500,251700,157.2,156.8,18,"124, avenue Coolbreeze Montreal",2014,559000,550000,20140218,4,2,2,156.4,260100,12072,154.1,33,313900,383800,156.1,174.4,Pointe-Claire,45.451727,-73.80337
1 1/2 Storey,301600,1247,312900,250600,159.7,158.3,1,"6856, 29e avenue Montreal",2014,359000,356000,20140501,3,1,5,156.6,264200,3329,153.4,10,316900,384300,156.9,175.2,Rosemont / La Petite Patrie,45.568544,-73.582729
1 1/2 Storey,290800,2621,287900,245500,153,151.6,25,"49, avenue Elmwood Montreal",2012,497000,446000,20120525,6,3,5,149.8,253100,15500,150.3,240,303500,367600,151.3,161.2,Senneville,45.518306,-73.603112
1 1/2 Storey,284700,1162,290800,242100,148.7,147.8,15,"4180, boulevad Henri-Bourassa Ouest Montreal",2012,314888,308000,20120215,4,2,2,146.7,246000,4370,148.2,120,295900,360000,148.1,162.8,St-Laurent,45.525697,-73.699502
1 1/2 Storey,301600,1570,312900,250600,159.7,158.3,25,"1850, chemin Laval Montreal",2014,285000,267000,20140525,5,2,5,156.6,264200,3690,153.4,210,316900,384300,156.9,175.2,St-Laurent,45.521495,-73.695981
1 1/2 Storey,300000,1119,311500,251700,157.2,156.8,20,"1323, rue Manning Montreal",2014,379500,390000,20140220,4,1,2,156.4,260100,4300,154.1,15,313900,383800,156.1,174.4,Verdun,45.449969,-73.583966
2 Storey,255600,1345,249000,212200,137,134.1,20,6610 Rue Gouin ouest Montreal,2009,,,20091120,3,,11,130.7,226600,5833,129.9,150,268400,320700,133,139.4,Ahuntsic / Cartierville,45.527667,-73.727283
2 Storey,247900,1302,246500,206300,132.8,129.8,14,10555 Rue J.-J. Gagnier Montreal,2009,289000,280000,20090514,3,1,5,126.3,219700,5000,126.3,65,259800,309900,129,138,Ahuntsic / Cartierville,45.580487,-73.648433
