,MlsNumber,LivingArea,MunicipalTax,SchoolTax,LotAssessment,BuildingAssessment,Area
0,28505751,92.8,1.0,1.00,,,1.0
1,28998793,1036.0,1850.0,385.00,,,1.0
2,17152594,939.0,2352.0,499.00,25500.0,254100.0,1000.0
3,17428838,594.0,1667.0,339.00,17600.0,172800.0,1000.0
4,18426422,935.0,1910.0,405.00,,,1000.0
5,10939814,,,,,,1000.0
6,20508845,1299.7,2793.0,587.00,,,1020.0
7,21957983,1125.0,1817.0,399.00,,,1036.15
8,28759685,,15048.0,2458.00,468100.0,844500.0,11398.9701
9,20667631,,10092.0,2484.00,641600.0,830900.0,11509.838269999998
10,14680631,1200.0,2626.0,576.00,,,1092.0
11,11193259,,4684.0,1047.00,,,1100.0
12,18488403,,3114.0,660.00,,,1125.0
13,9685913,1044.0,2966.0,624.00,40700.0,290600.0,1125.0
14,13874356,,2716.0,477.00,,,1136.3
15,21100417,,,,,,12237.47791
16,18687560,,24650.0,1261.00,154500.0,533800.0,12313.9016
17,17162514,,1580.0,330.00,,,1153.89
18,19585889,,7800.0,1613.00,,,1160.0
19,28896218,,3392.0,745.00,,,1182.0
20,22187045,1818.0,3878.0,755.00,,,1185.0
21,22233370,1760.0,5054.0,1088.00,,,1187.26
22,15290200,,3078.0,627.00,232272.0,97100.0,12823.03407
23,11690778,,2312.0,491.00,,,1200.0
24,22428141,,3666.0,787.00,,,1200.0
25,19219094,,3549.0,719.00,,,1216.0
26,21958377,,3832.0,774.00,,,1224.93
27,14268353,1138.0,2698.0,567.00,33300.0,298300.0,1225.0
28,15754939,,2017.0,419.00,,,1232.47
29,22107771,1190.0,1959.0,457.00,,,1236.0
30,22849348,1357.0,2946.0,606.00,,,1250.0
31,11275564,720.0,2607.0,559.00,,,1259.0
32,18656632,700.0,1481.0,332.00,,,1264544.2
33,17050228,971.9,1873.0,384.00,,,1269.06
34,14944814,1242.0,2341.0,493.00,,,1289.0
35,20654347,3100.0,9554.0,710.00,,,1290.0
36,19075820,,2918.0,579.00,,,1300.0
37,20345306,,2564.0,544.00,,,1311.0
38,26318013,,4152.0,879.00,,,1313.0
39,14998265,,4152.0,879.00,,,1314.0
40,14111141,740.0,3487.0,739.00,,,1322.7
41,28947375,,4517.0,944.00,,,1329.34
42,12367542,,13728.0,690.00,,,1333.0
43,10857433,,2274.0,483.00,,,1340.0
44,14730090,,3906.0,788.00,,,1345.49
45,24434363,,1416.0,315.00,,,1350.87
46,28065604,,3185.0,655.00,,,1354.1
47,13840268,,2020.0,428.00,,,1356.0
48,17741839,1300.0,2638.0,489.00,,,1356.25
49,14226384,,3412.0,722.00,,,1369.17
50,28905445,1312.0,2325.0,489.00,,,1386.0
51,23922826,995.0,2467.0,530.00,,,1400.0
52,16241548,1400.0,3293.0,686.00,,,1400.0
53,14739934,1896.0,3668.0,787.00,,,1400.0
54,23618806,,4083.0,876.00,,,1400.0
55,16867172,,6430.0,989.00,,,1400.0
56,11405158,2006.0,3728.0,790.00,109300.0,381500.0,1400.0
57,26885277,1350.0,2500.0,500.00,39200.0,189300.0,1400.0
58,18299362,1292.0,2785.0,586.00,37800.0,304500.0,1400.0
59,12011216,2055.91,2679.0,551.00,,,1407.92
60,14326315,1682.0,4658.0,1022.00,,,1409.1
61,11394072,,3231.0,599.00,,,1413.0
62,27551534,,4800.0,1050.00,,,1440.0
63,23545711,748.0,1087.0,239.00,,,1440.0
64,21204423,,2758.0,570.00,,,1442.8
65,17157061,,,,,,1445.0
66,25575881,1700.0,1800.0,337.00,,,1453.0
67,12221503,,4588.0,985.00,,,1462.0
68,26284451,1546.0,2640.0,566.00,,,1467.0
69,26221208,,2761.0,571.00,,,1469.0
70,10264634,,,,,,1474.76
71,18583643,,,,,,1474.76
72,24277485,,,,,,1474.76
73,28326035,1415.0,,,,,1474.76
74,28077099,,3052.0,670.00,,,1483.27
75,22617187,1640.0,3680.0,710.00,77400.0,394900.0,1488.0
76,13327822,1380.0,4873.0,1046.00,,,1493.5
77,10465942,,2754.0,604.00,,,1495.0
78,27253640,,,,,,1495.0
79,26309264,,2252.0,464.00,,,1495.11
80,12265962,1390.0,2953.0,703.00,,,1500.0
81,17853414,,1584.0,327.00,,,1503.0
82,24944503,2210.0,4658.0,1004.00,,,1512.11
83,19851934,,3418.0,724.00,,,1518.0
84,12556156,2400.0,4148.0,911.00,,,1518.03
85,18090722,,2507.0,519.00,,,1520.0
86,11882105,,2478.0,512.00,,,1528.0
87,24850304,,5348.0,1037.00,,,1534.0
88,28247463,,3057.0,605.00,57200.0,285100.0,1539.0
89,9663893,,2268.0,469.00,,,1541.0
90,27261135,1317.0,2568.0,523.00,,,1545.0
91,14236501,,4506.0,410.00,,,1550.0
92,26535175,,2979.0,631.00,,,1553.23
93,19362051,,2997.0,571.00,,,1567.23
94,12916109,,2718.0,504.00,,,1572.6
95,27904522,,5349.0,1407.00,,,1580.0
96,10569084,,2103.0,411.00,82900.0,182200.0,1593.0
97,13101951,1542.0,3941.0,497.00,,,1593.06
98,27562277,2303.4746,4933.0,1038.00,140700.0,468600.0,1600.0
99,25011778,2880.0,3100.0,621.00,,,1606.4
100,11691963,,3053.0,670.00,,,1609.2
101,14960336,,3716.0,816.00,,,1610.28
102,15757828,,2816.0,581.00,,,1614.0
103,25940319,,1685.0,319.00,,,1614.59
104,16294224,,3481.0,748.00,,,1621.0
105,16107704,,19000.0,2512.00,243000.0,427300.0,17448.281899999998
106,16986752,,4589.0,843.00,,,1621.04
107,19785802,,1319.0,262.00,,,1624.27
108,19767641,2751.0,4229.0,929.00,,,1627.0
109,26437670,1390.0,4058.0,887.00,,,1631.76
110,20053811,,3750.0,797.00,,,1632.89
111,19284328,682.0,1728.0,352.00,,,1634.0
112,23600526,1600.0,4018.0,750.00,,,1637.62
113,24038466,,2858.0,615.00,,,1639.34
114,20428012,,5344.0,1095.00,,,1639.8
115,15821242,1728.0,3504.0,752.00,,,1642.0
116,16704351,,4742.0,959.00,,,1649.0
117,21863461,,2461.0,465.00,,,1650.0
118,20157985,,4775.0,1025.00,,,1650.0
119,12375456,1060.0,,,,,1650.11
120,13239831,1332.0,2299.0,481.00,,,1653.0
121,26058732,,2635.0,552.00,,,1657.64
122,10262127,,5834.0,1268.00,,,1660.0
123,24994505,1800.0,2702.0,660.00,44300.0,224200.0,1667.0
124,23376561,,2515.0,517.00,,,1667.33
125,22951883,,1121.0,132.00,,,1668.0
126,17174448,3000.0,5227.0,1444.00,,,1672.0
127,13106809,1894.45,2736.0,284.00,,,1674.86
128,9987828,,2725.0,570.00,,,1674.86
129,21350091,,2547.0,533.00,,,1675.0
130,22573739,1740.0,5237.0,1075.00,,,1680.0
131,9579902,,1900.0,403.00,,,1680.25
132,11759819,,2626.0,550.00,,,1680.25
133,13525435,,2571.0,543.00,,,1685.0
134,22021820,,2593.0,551.00,,,1699.62
135,27294208,,2502.0,523.00,,,1700.0
136,15539098,,2672.0,560.00,,,1700.0
137,12325403,1000.0,2814.0,531.00,,,1700.0
138,19576015,5764.0,7329.0,1435.00,,,1700.0
139,21529014,,3278.0,528.00,89100.0,259600.0,1712.0
140,11022723,,4461.0,928.00,,,1712.54
141,9341026,,5047.0,1083.00,,,1717.92
142,21894734,,3885.0,780.00,,,1722.23
143,19706510,,4556.0,1001.00,,,1723.3
144,23440892,968.0,2082.0,447.00,,,1727.0
145,28698717,979.52,1813.0,356.00,,,1730.73
146,21802796,1086.0,1739.0,341.00,,,1733.0
147,11546939,,1668.0,328.00,,,1738.37
148,22923673,,3574.0,748.00,,,1739.45
149,17250150,,3179.0,666.00,,,1741.6
150,20557210,550.0,608.0,113.00,,,1750.0
151,19798787,,2490.0,521.00,,,1750.0
152,18906044,850.0,3959.0,415.00,,,1750.0
153,10181339,3150.0,4012.0,861.00,,,1750.0
154,19920233,,4044.0,847.00,,,1750.0
155,15754721,1615.0,3390.0,703.00,82300.0,306400.0,1750.0
156,10759201,500.0,701.0,147.00,,,1750.21
157,24481097,500.0,747.0,157.00,,,1750.21
158,9631977,500.0,747.0,157.00,,,1750.21
159,22681899,1656.0,,,,,1751.0
160,15128760,,2820.0,583.00,,,1753.0
161,14322233,,5109.0,1025.00,,,1753.12
162,25615233,,4791.0,725.00,,,1755.0
163,16664208,,3406.0,325.00,,,1759.0
164,15751524,,2159.0,426.00,,,1760.0
165,10924057,,2607.0,463.00,49100.0,212800.0,1760.0
166,21892490,1280.0,2256.0,443.00,,,1765.0
167,14841918,1223.19,5931.0,1105.00,,,1767.0
168,18041967,,5556.0,1105.00,,,1767.0
169,17830301,,4208.0,1.00,,,19037.033539999997
170,13063897,,2077.0,408.00,,,1770.0
171,25752485,,4035.0,845.00,,,1772.82
172,25718152,,4004.0,860.00,,,1775.0
173,22483836,,15953.0,2859.00,470000.0,1117000.0,19173.73507
174,17531570,,4680.0,416.00,,,1782.0
175,13327513,1925.0,3791.0,861.00,,,1784.0
176,15930186,,1206.0,142.00,,,1792.0
177,27099103,,2870.0,663.00,,,1793.27
178,15195304,977.36,2865.0,622.00,,,1797.57
179,15506920,,2844.0,507.00,,,1799.0
180,14809154,1344.0,1850.0,191.00,,,1800.0
181,21674131,,3337.0,729.00,,,1800.0
182,11516497,,3600.0,693.00,,,1800.0
183,24423545,,4180.0,879.00,,,1801.88
184,18268017,,1476.0,291.00,,,1805.0
185,12939953,,1615.0,317.00,,,1805.0
186,22025263,,2930.0,621.00,,,1823.41
187,13612606,,3673.0,778.00,,,1824.0
188,20106648,,1856.0,1.00,,,1826.0
189,14183764,1068.0,1259.0,275.00,,,1833.0
190,23964066,,2474.0,525.00,,,1834.0
191,22124321,,3265.0,617.00,,,1836.6
192,20112530,,3369.0,700.00,,,1838.48
193,27052974,,2710.0,465.00,,,1840.0
194,15036215,1872.9186,2089.0,389.00,51400.0,164900.0,1844.0
195,15995077,,2938.0,800.00,,,1850.0
196,18743248,,2875.0,609.00,122900.0,238200.0,1850.0
197,17666932,1200.0,6096.0,1317.00,,,1851.0
198,26087261,,2398.0,493.00,,,1855.0
199,25441930,,3267.0,682.00,,,1857.0
200,19570793,,3280.0,686.00,,,1857.85
201,11164922,1500.0,2089.0,600.00,,,1859.0
202,21034929,,2537.0,525.00,,,1861.5
203,11954539,,3993.0,765.00,,,1861.83
204,12768412,,2315.0,242.00,,,1869.0
205,27587748,741.0,1629.0,331.00,,,1870.0
206,18531016,,1550.0,319.00,,,1871.84
207,20015368,,3105.0,650.00,,,1874.0
208,26281857,912.78,2044.0,420.00,,,1874.97
209,21345766,997.0,1585.0,163.00,,,1875.0
210,12348373,875.0,2281.0,448.00,,,1875.0
211,26811115,,3114.0,628.00,,,1875.0
212,28756745,,3171.0,673.00,,,1875.0
213,18608811,,3288.0,689.00,,,1875.0
214,10048448,,3478.0,737.00,,,1875.0
215,13388285,,3552.0,707.00,,,1875.0
216,24536602,,5088.0,991.00,,,1875.0
217,23084332,,2484.0,552.00,,,1875.07
218,25644780,,2870.0,608.00,,,1875.07
219,14645314,,3803.0,792.00,,,1875.07
220,21420496,,2164.0,445.00,,,1879.38
221,28852086,,3028.0,314.00,,,1882.61
222,11647495,,3323.0,840.00,,,1885.0
223,11091521,,2471.0,511.00,,,1886.0
224,24426889,,3656.0,779.00,,,1898.0
225,16507039,,2339.0,483.00,,,1899.0
226,12736931,,2284.0,432.00,,,1899.83
227,13328439,,4021.0,842.00,,,1900.0
228,19818168,,5067.0,1043.00,,,1901.98
229,16622361,,3449.0,749.00,,,1904.0
230,28160311,1800.0,2975.0,635.00,,,1905.0
231,23455062,1862.16,3128.0,631.00,,,1905.21
232,27703783,1311.0,,,,,1905.21
233,14625052,1238.0,,,,,1905.21
234,16347317,987.0,,,,,1905.21
235,20974693,900.0,,,,,1905.21
236,21977226,933.0,,,,,1905.21
237,16131219,3055.87,9691.0,746.00,,,1909.52
238,23467448,3060.0,3120.0,588.00,,,1920.0
239,22226709,,3437.0,737.00,87600.0,311700.0,1925.0
240,16913147,,4697.0,722.00,,,1926.0
241,15256930,,1.0,1.00,,,1926.74
242,18219067,1515.28,5250.0,730.00,,,1927.3
243,12350043,960.0,3850.0,815.00,,,1930.0
244,21780596,,2145.0,422.00,,,1943.0
245,16875442,,3293.0,663.00,,,1948.27
246,18620615,,2998.0,636.00,,,1949.67
247,16181160,,2887.0,597.00,,,1950.0
248,14247542,2533.0,6953.0,1504.00,,,1950.0
249,28719937,,4705.0,1010.00,,,1950.0
250,15931789,1810.0,3679.0,774.00,,,1950.0
251,16006733,,2094.0,443.00,,,1950.42
252,11234951,,2693.0,570.00,,,1950.42
253,21885656,,2042.0,401.00,,,1951.0
254,9774055,3773.25,4288.0,533.00,,,1955.0
255,13543898,,1803.0,354.00,,,1960.0
256,19004805,1770.0,2083.0,434.00,,,1960.0
257,17839952,,3799.0,1004.00,,,1960.0
258,23262323,,2308.0,423.00,,,1961.0
259,16482390,953.7,2877.0,617.00,,,1961.18
260,15361715,1048.0,2455.0,511.00,,,1962.0
261,22947780,,2471.0,1080.00,,,1965.49
262,25182351,935.0,1938.0,397.00,,,1967.0
263,18584041,1100.0,2357.0,488.00,,,1967.0
264,19739091,835.0,2777.0,568.00,,,1975.0
265,17611021,,3170.0,1.00,,,1975.0
266,10487277,1287.0,3265.0,656.00,,,1975.0
267,18545047,,3824.0,810.00,,,1975.0
268,24099783,,2772.0,579.00,,,1975.18
269,28579834,,2667.0,559.00,,,1976.25
270,20695378,957.99,1822.0,365.00,,,1976.25
271,13010439,1175.0,4561.0,955.00,,,1978.0
272,26344891,,3614.0,691.00,,,1980.5
273,18395671,,3231.0,593.00,,,1986.26
274,16807795,,4994.0,1072.00,,,1987.02
275,18285410,,3495.0,722.00,,,1992.0
276,28945640,,3156.0,676.00,,,1997.78
277,19379993,,3648.0,774.00,,,1999.0
278,22931555,,2612.0,518.00,,,1999.93
279,28483295,,2725.0,542.00,,,1999.93
280,20644485,,2734.0,573.00,,,1999.93
281,26760717,,3097.0,622.00,,,1999.93
282,19215632,,3197.0,617.00,,,1999.93
283,16647218,,3568.0,734.00,,,1999.93
284,25362849,,3859.0,794.00,,,1999.93
285,16867145,,14564.0,766.00,,,1999.93
286,14701214,177.53,3408.0,721.00,115400.0,269200.0,1.0
287,11925179,935.0,1945.0,495.00,32800.0,163600.0,1.0
288,27549079,,1.0,1.00,,,1.0
289,25294561,2000.0,3818.0,777.00,91400.0,387300.0,10.7639
290,27664205,1.0,2461.0,520.00,33800.0,275000.0,10.7639
291,25545664,1400.0,5526.0,918.00,,,10000.0
292,27128703,8900.0,46380.0,2488.00,566700.0,733400.0,10000.0
293,10824217,,6266.0,1199.00,,,10010.0
294,13860706,,5705.0,1114.00,,,10032.0
295,11844762,1344.0,4776.0,887.00,,,10150.0
296,14709020,,5892.0,1180.00,,,10266.62
297,24167724,,4229.0,898.00,,,10275.0
298,13172569,,2755.0,573.00,,,10341.0
299,21446569,,3324.0,680.00,,,10500.0
300,18614800,,2855.0,586.00,,,10540.0
301,24543891,,5510.0,999.00,,,10565.85
302,27860519,,10539.0,2241.00,,,10637.0
303,28373569,,11678.0,,,,10650.0
304,22273898,,5107.0,1059.00,,,10725.16
305,19922230,3000.0,23286.0,1.00,,,10736.0
306,19946293,2628.0,5646.0,1111.00,218700.0,410400.0,10775.0
307,13217866,,5735.0,1121.00,,,10794.05
308,18867965,,5464.0,1090.00,,,10800.0
309,12318230,,2804.0,577.00,,,10000.0
310,18535776,,8133.0,1686.00,,,10045.0
311,24972872,1007.0,1825.0,345.00,,,1008.0
312,15235682,,2476.0,504.00,193200.0,93700.0,10874.76817
313,28304256,,2641.0,520.00,,,1012.0
314,16933094,,5700.0,1220.00,,,10124.0
315,10033557,,4493.0,802.00,263800.0,190100.0,10124.0
316,9476277,1019.0,1248.0,561.00,18000.0,288900.0,1019.0
317,22429783,1760.0,3615.0,708.00,172600.0,208100.0,10358.0
318,13236337,,2885.0,611.00,88700.0,287600.0,1119.4456
319,27901869,670.0,1646.0,351.00,,,1122265.7418
320,25687670,3570.0,6118.0,1312.00,164700.0,581900.0,10428.0
321,23143586,,13332.0,2170.00,268900.0,992700.0,11327.92836
322,10173725,,5548.0,1091.00,337800.0,272400.0,10538.0
323,25333001,,11882.0,2312.00,,,10591.0
324,10882148,,15717.0,3575.00,,,11466.782669999999
325,13591565,4600.0,16332.0,3447.00,,,107957.0
326,15462020,,3052.0,499.00,152600.0,188100.0,10724.0
327,24718592,,2121.0,438.00,50100.0,206100.0,1074.0
328,25857307,,11966.0,2316.00,,,10775.0
329,9243714,1524.0,1.0,767.00,206600.0,250200.0,10898.0
330,14740569,2770.0,5761.0,1321.00,,,10927.0
331,11733405,,2089.0,470.00,183900.0,86100.0,11781.08855
332,17008985,,5129.0,1025.00,,,11034.0
333,9196140,,11295.0,2240.00,,,11053.46
334,27071986,,8072.0,728.00,,,11070.0
335,10470728,,4958.0,950.00,,,11130.0
336,19243593,,13690.0,2895.00,,,11198.0
337,23124721,,3274.0,698.00,,,11230.0
338,14442491,,7748.0,1668.00,,,11301.03
339,24421489,,4472.0,871.00,,,11393.0
340,14745605,,,,,,11394.0
341,27014805,4982.0,16097.0,2550.00,468100.0,858300.0,11398.0
342,19248537,,10340.0,1648.00,270800.0,655800.0,11414.0
343,20019982,3200.0,5278.0,1181.00,,,11433.0
