id,address,lat,lng
7500,"1860, 36�me avenue Montreal",45.501689,-73.567256
7501,"845, 91�me avenue Montreal",45.501689,-73.567256
7502,"225, terrasse Jacques-L�onard Montreal",45.658430,-73.496398
7503,"13771, rue Prince Arthur Montreal",45.666825,-73.510734
7504,"865, 91e avenue Montreal",45.696685,-73.487897
7505,"245, rue Pierre Mercure Montreal",45.698363,-73.491195
7506,"3492, rue Yves Th�riault Montreal",45.679164,-73.505498
7507,"527, rue Beausoleil Montreal",45.682987,-73.492606
7508,"12455, rue Forsyth Montreal",45.648600,-73.511253
7509,"15665, rue Victoria Montreal",45.691671,-73.492346
7510,"895, place Du Parc Montreal",45.650527,-73.508187
7511,"1117, 47e avenue Montreal",45.666804,-73.497996
7512,"1171, Henri M. Perrault Montreal",45.691581,-73.494663
7513,"14609, rue Th�r�se Giroux Montreal",45.501689,-73.567256
7514,"12255, rue Gratton Montreal",45.646019,-73.509866
7515,"15901, rue Bellerive Montreal",45.693545,-73.483277
7516,"1162, rue Henri-M.-Perrault Montreal",45.691269,-73.494668
7517,"12600, rue Forsyth Montreal",45.650530,-73.508732
7518,"13065, rue Notre-Dame Est Montreal",45.653931,-73.490491
7519,"14225, rue de Montigny Montreal",45.671707,-73.498726
7520,"1335, terrasse Jacques Leonard Montreal",45.657853,-73.495027
7521,"1510, rue Victor E Beaupr� Montreal",45.501689,-73.567256
7522,"524, place Nicolas-Senet Montreal",45.655312,-73.492077
7523,"1154, rue J Omer Marchand Montreal",45.692009,-73.494346
7524,"771, 18e avenue Montreal",45.645349,-73.493613
7525,"1010, rue Jean Carignan Montreal",45.697312,-73.488293
7526,"3504, rue Yves-Th�rriault Montreal",45.679202,-73.505665
7527,"1665, boulevard Saint-Jean Baptiste Montreal",45.642930,-73.507161
7528,"80, rue d'Argenson Montreal",45.649985,-73.509398
7529,"12141, De La Gaucheti�re Montreal",45.642521,-73.498003
7530,"14601 Rue Thérèse-Giroux Montreal",45.678049,-73.503692
7531,"13025 Notre-Dame est Montreal",45.653433,-73.490274
7532,"16341 Rue Marion Montreal",45.700225,-73.481991
7533,"13255 Rue Victoria Montreal",45.656975,-73.493979
7534,"3433 Marie Lefranc Montreal",45.535256,-73.867618
7535,"39 Rue Fran�oise-Langlois Montreal",45.677296,-73.491386
7536,"592 Avenue 99 eme Montreal",45.501689,-73.567256
7537,"2926, Duchesneau Montreal",45.609426,-73.521400
7538,"564 Place St-Georges Montreal",45.653670,-73.491602
7539,"94 Nicholson Avenue Montreal",45.467485,-73.796690
7540,"4 De L'Horizon Montreal",45.501689,-73.567256
7541,"48, avenue Nicholson Montreal",45.469477,-73.798459
7542,"59, rue FAIRWOOD Montreal",45.442372,-73.823183
7543,"90, avenue Nicholson Montreal",45.467570,-73.797002
7544,"33, rue Portsmouth Montreal",45.463674,-73.838489
7545,"14, Avenue Greystone Montreal",45.461464,-73.842079
7546,"59 AV. FAIRWOOD Montreal",45.442372,-73.823183
7547,"50 Nicholson Ave Montreal",45.469383,-73.798406
